case_type,triplet_id,relation_family,anchor_caption,anchor_local_path,positive_caption,positive_local_path,negative_caption,negative_local_path
relsim_only_correct,conflict_temp_ebb0a441_f80a40b6,temporal_transformation,"The transformation of {Ingredient} into {Product} shown through stages: {Raw Material}, {Processed Form}, {Finished Item}",review/archive/images\ebb0a441f27c21308e90b6f3f9ab0d3f.jpg,"""Creative transformation of repurposed {Object} into functional {Dog Bed} with unique design and artistic details.""",review/archive/images\ebd67189cf79d3ab02d0a14cbb5c4247.jpg,Creative presentation of {Object} positioned within the framework of a {Surface/Frame}.,review/archive/images\f80a40b6e61d3c2f7bcbae17bace605c.jpg
relsim_only_correct,conflict_temp_ebb0a441_f9e159e9,temporal_transformation,"The transformation of {Ingredient} into {Product} shown through stages: {Raw Material}, {Processed Form}, {Finished Item}",review/archive/images\ebb0a441f27c21308e90b6f3f9ab0d3f.jpg,"""Creative transformation of repurposed {Object} into functional {Dog Bed} with unique design and artistic details.""",review/archive/images\ebd67189cf79d3ab02d0a14cbb5c4247.jpg,"Beautiful latte art patterns made with {Flavor} and {Milk}, showcasing intricate designs like {Theme} in a {Container}.",review/archive/images\f9e159e97723f6fdb3a8dc55692c1954.jpg
relsim_only_correct,conflict_temp_eeb47991_e699eb5f,temporal_transformation,"The life cycle of {Plant} unfolds through the stages: {Seed}, {Sprout}, {Leaves/Buds}, {Flower}, {Fruit/Seed Dispersal}",review/archive/images\eeb47991ca59d3ad8b44eb97ded966a1.jpg,"Visual representation of {Object} with evolving {Features} or {Emotions}, illustrating changes in {Theme} or {Feeling}.",review/archive/images\f1ff4ab844a704d88cb60740bfed50cc.jpg,A tree design made from {Hands} in various {Colors} and {Positions}.,review/archive/images\e699eb5f80a49467733cd08230692473.jpg
relsim_only_correct,conflict_temp_f37aebc5_e1644c03,temporal_transformation,"The life cycle of a {Insect}, showcasing its development from a {larva} through metamorphosis to a fully formed {adult}.",review/archive/images\f37aebc58e6f499c7b3bdf740e730ca1.jpg,"Follow the detailed development of {Subject} as it progresses from rough sketches to polished final art, incorporating fine details and precise proportions.",review/archive/images\f55b60c9a935834ea147badeb2553e73.jpg,Artistic depictions of {Animal} creatively fused with everyday {Objects} into one-of-a-kind designs.,review/archive/images\e1644c0337b88924fc56eef4638c1f91.jpg
relsim_only_correct,conflict_temp_f37aebc5_e2840d4f,temporal_transformation,"The life cycle of a {Insect}, showcasing its development from a {larva} through metamorphosis to a fully formed {adult}.",review/archive/images\f37aebc58e6f499c7b3bdf740e730ca1.jpg,"Follow the detailed development of {Subject} as it progresses from rough sketches to polished final art, incorporating fine details and precise proportions.",review/archive/images\f55b60c9a935834ea147badeb2553e73.jpg,Unique artistic creations made from {Materials} to mimic imaginative {Animals}.,review/archive/images\e2840d4faae37e2a68fbab19e7630b62.jpg
relsim_only_correct,conflict_temp_f55b60c9_ee5703f7,temporal_transformation,"Follow the detailed development of {Subject} as it progresses from rough sketches to polished final art, incorporating fine details and precise proportions.",review/archive/images\f55b60c9a935834ea147badeb2553e73.jpg,"Visual representation of the {Cycle} of the {Object}, showcasing the sequence of phases or transformations step by step.",review/archive/images\f910f8cd550d71199357803316171d8e.jpg,"A unique {Animal} design crafted from wooden panels, featuring integrated {Drawers} for practicality.",review/archive/images\ee5703f7c56b8022166f393e7143a421.jpg
relsim_only_correct,conflict_temp_f55b60c9_fe5f295c,temporal_transformation,"Follow the detailed development of {Subject} as it progresses from rough sketches to polished final art, incorporating fine details and precise proportions.",review/archive/images\f55b60c9a935834ea147badeb2553e73.jpg,"Visual representation of the {Cycle} of the {Object}, showcasing the sequence of phases or transformations step by step.",review/archive/images\f910f8cd550d71199357803316171d8e.jpg,"""{Animal} breaking through a {Surface/Mural} and entering a new {Environment/Scene}""",review/archive/images\fe5f295c87c466df6e471eea9d2e313f.jpg
relsim_only_correct,conflict_temp_fec41d2a_f31f59ef,temporal_transformation,Before-and-after portrayal of {Animal} showcasing their transformation from {Environment/Condition 1} to {Environment/Condition 2}.,review/archive/images\fec41d2a8ae1a3702dd12e0ab695cdaa.jpg,"""Step-by-step instructions for using {Object} to achieve {Action}, illustrated with multiple stages of {Process}.""",review/archive/images\fed9fc9fae675ca840f42c9e34601329.jpg,Animals adorned with {Unicorn Horn} to mimic the magical {Color} and {Appearance} of unicorns.,review/archive/images\f31f59efd0d6d241bd89f842d0cf9fda.jpg
all_models_wrong,conflict_comp_df567ccf_e41101b8,compositional_formation,Creative use of {Objects} to form a {Shape}.,review/archive/images\df567ccf0076cfe15dc758ce5179fc77.jpg,"A picture of a {Person} made from small tiles featuring {Scenes}, {Objects}, or {Animals}.",review/archive/images\e1b1cdde809da456dd6ab858a339b3b2.jpg,A {Fruit} with a carved-out {Symbol} that resembles a {Character} or {Object}.,review/archive/images\e41101b86180e9cd957adf83826f9f00.jpg
all_models_wrong,conflict_comp_df567ccf_e6598661,compositional_formation,Creative use of {Objects} to form a {Shape}.,review/archive/images\df567ccf0076cfe15dc758ce5179fc77.jpg,"A picture of a {Person} made from small tiles featuring {Scenes}, {Objects}, or {Animals}.",review/archive/images\e1b1cdde809da456dd6ab858a339b3b2.jpg,A heart-shaped {Tree} rising from a {Background} to embody love or nature.,review/archive/images\e6598661363f0501e69101ee159e317b.jpg
all_models_wrong,conflict_comp_df567ccf_fbef00d0,compositional_formation,Creative use of {Objects} to form a {Shape}.,review/archive/images\df567ccf0076cfe15dc758ce5179fc77.jpg,"A picture of a {Person} made from small tiles featuring {Scenes}, {Objects}, or {Animals}.",review/archive/images\e1b1cdde809da456dd6ab858a339b3b2.jpg,Creative use of {Shadow} to portray the form and texture of {Object} on a {Surface}.,review/archive/images\fbef00d09d05a527eb908a2dd887f44b.jpg
all_models_wrong,conflict_comp_e1b1cdde_efaf88d9,compositional_formation,"A picture of a {Person} made from small tiles featuring {Scenes}, {Objects}, or {Animals}.",review/archive/images\e1b1cdde809da456dd6ab858a339b3b2.jpg,A heart-shaped arrangement made with {Objects} of different {Colors} and {Shapes}.,review/archive/images\e255b2c5d74978e6e5e70df7e43836d0.jpg,"""Hidden {Object} within a crowd of diverse {People} in a creative and artistic arrangement.""",review/archive/images\efaf88d95c61c6f8cd7182445c7279d7.jpg
all_models_wrong,conflict_comp_e2c54863_ed3c7c91,compositional_formation,"A {Tree} shape crafted from {Fruits}, with an array of {Colors} and {Types} arranged at the base.",review/archive/images\e2c548634699e005593eff2f73406127.jpg,A collection of {Objects} arranged in a circular formation with varying {Colors} or {Patterns}.,review/archive/images\e439da05427b410c1f832742dc38c5a8.jpg,Creative fusion of {Tree} and unexpected {Seasonal Decorations} for a one-of-a-kind visual effect.,review/archive/images\ed3c7c91c841e2768bf9c713593b940a.jpg
all_models_wrong,conflict_comp_e439da05_ececb0e0,compositional_formation,A collection of {Objects} arranged in a circular formation with varying {Colors} or {Patterns}.,review/archive/images\e439da05427b410c1f832742dc38c5a8.jpg,Fire is ignited from a {Match} to form a {Scene/Object}.,review/archive/images\e4402b2e7348f555b141c775291a2957.jpg,"A visually striking arrangement featuring {Fruit} and matching {Colors} or {Objects}, representing the hues of {Theme}.",review/archive/images\ececb0e026f2bb4c8a2d8ced440f7799.jpg
all_models_wrong,conflict_comp_e602b6e9_f7834e45,compositional_formation,Imaginative food arrangements transforming {Ingredients} into recognizable {Shapes} or {Characters}.,review/archive/images\e602b6e92f6c54573e1bb4ad48667e69.jpg,"A creative composition made using {Recycled Materials}, forming an {Object} with imaginative flair.",review/archive/images\e79ae1196097a1e758d42426856eae47.jpg,"""Creative presentation of {Food Items} shaped into a {Theme or Character} on a plate.""",review/archive/images\f7834e45e54bf1730c9beb37302baa5b.jpg
all_models_wrong,conflict_comp_e79ae119_fe7b6120,compositional_formation,"A creative composition made using {Recycled Materials}, forming an {Object} with imaginative flair.",review/archive/images\e79ae1196097a1e758d42426856eae47.jpg,Creative use of {Food Items} to form the shape of a {Christmas Tree}.,review/archive/images\e7c44a402383f0881f075fa7fdde6888.jpg,Creative spray paint art blending {Object} with a {Scene/Environment} to form a unique and imaginative design.,review/archive/images\fe7b612089322546a93e51d399fa9a64.jpg
all_models_wrong,conflict_comp_e9bbae0e_ecf449c9,compositional_formation,"""Creative representation of {Brain} made from various {Fruits} and {Vegetables} arranged in a realistic design.""",review/archive/images\e9bbae0e4f3ead3060b916e63593ad9d.jpg,"""Group of {People} forming a {Shape} on the ground using {Object}.""",review/archive/images\e9f1105995cfa1ba8673317081ddfd59.jpg,The creation of {Food} through the combination of {Raw Ingredients} in a {Cooking Process}.,review/archive/images\ecf449c9866dc5eb843a212c3f49ccc9.jpg
all_models_wrong,conflict_comp_e9bbae0e_f031e302,compositional_formation,"""Creative representation of {Brain} made from various {Fruits} and {Vegetables} arranged in a realistic design.""",review/archive/images\e9bbae0e4f3ead3060b916e63593ad9d.jpg,"""Group of {People} forming a {Shape} on the ground using {Object}.""",review/archive/images\e9f1105995cfa1ba8673317081ddfd59.jpg,Creative illustrations featuring {Fruits} or {Vegetables} with human-like faces and expressive emotions.,review/archive/images\f031e302107087880f5c64cee7fb37ca.jpg
all_models_wrong,conflict_comp_e9bbae0e_f1e0f426,compositional_formation,"""Creative representation of {Brain} made from various {Fruits} and {Vegetables} arranged in a realistic design.""",review/archive/images\e9bbae0e4f3ead3060b916e63593ad9d.jpg,"""Group of {People} forming a {Shape} on the ground using {Object}.""",review/archive/images\e9f1105995cfa1ba8673317081ddfd59.jpg,"""Arrangement of {Objects} on forks placed vertically, creating a visually appealing pattern.""",review/archive/images\f1e0f42672aff1a50d9d7f3f8595739e.jpg
all_models_wrong,conflict_comp_e9bbae0e_f8ae57be,compositional_formation,"""Creative representation of {Brain} made from various {Fruits} and {Vegetables} arranged in a realistic design.""",review/archive/images\e9bbae0e4f3ead3060b916e63593ad9d.jpg,"""Group of {People} forming a {Shape} on the ground using {Object}.""",review/archive/images\e9f1105995cfa1ba8673317081ddfd59.jpg,"An assortment of diverse {Food Items} organized by {Type}, {Ingredient}, or {Theme}.",review/archive/images\f8ae57beb301f3c302361044d6a89e49.jpg
all_models_wrong,conflict_comp_e9f11059_f03e3425,compositional_formation,"""Group of {People} forming a {Shape} on the ground using {Object}.""",review/archive/images\e9f1105995cfa1ba8673317081ddfd59.jpg,"Unique shapes created with {Ingredients} and {Arrangement}, forming creative depictions of {Objects} or {Characters}.",review/archive/images\ebb5408257fe0b7ddad9ca0ccbd9a3d8.jpg,Visual representation of {Group} engaging in a {Task/Activity} around a {Object/Subject}.,review/archive/images\f03e342598038304a70998b40c77b7f5.jpg
all_models_wrong,conflict_comp_ebb54082_f39baa59,compositional_formation,"Unique shapes created with {Ingredients} and {Arrangement}, forming creative depictions of {Objects} or {Characters}.",review/archive/images\ebb5408257fe0b7ddad9ca0ccbd9a3d8.jpg,"""Group photo of {Group} arranged in a {Shape} formation on a {Background}.""",review/archive/images\ec46ab4c0047376101de83dd39032dfc.jpg,"""Breakdown of a {Food Item} featuring individual components: {Ingredient 1}, {Ingredient 2}, {Ingredient 3}, assembled into a complete {Dish}""",review/archive/images\f39baa5961ba30fc1943d0cd737c73e3.jpg
all_models_wrong,conflict_comp_ebb54082_f8ae57be,compositional_formation,"Unique shapes created with {Ingredients} and {Arrangement}, forming creative depictions of {Objects} or {Characters}.",review/archive/images\ebb5408257fe0b7ddad9ca0ccbd9a3d8.jpg,"""Group photo of {Group} arranged in a {Shape} formation on a {Background}.""",review/archive/images\ec46ab4c0047376101de83dd39032dfc.jpg,"An assortment of diverse {Food Items} organized by {Type}, {Ingredient}, or {Theme}.",review/archive/images\f8ae57beb301f3c302361044d6a89e49.jpg
all_models_wrong,conflict_comp_ec46ab4c_e3033baf,compositional_formation,"""Group photo of {Group} arranged in a {Shape} formation on a {Background}.""",review/archive/images\ec46ab4c0047376101de83dd39032dfc.jpg,"""Creative use of {Food Items} to form a {Face} with elements like {Eyes}, {Nose}, and {Mouth}.""",review/archive/images\ece780da732cddd0812c30257270852a.jpg,Synchronized acts performed by {Performers} on {Animal} in front of an attentive {Audience}.,review/archive/images\e3033baff84e6bc612a5ecaefe9d2f94.jpg
all_models_wrong,conflict_comp_ec46ab4c_e5a1aa8b,compositional_formation,"""Group photo of {Group} arranged in a {Shape} formation on a {Background}.""",review/archive/images\ec46ab4c0047376101de83dd39032dfc.jpg,"""Creative use of {Food Items} to form a {Face} with elements like {Eyes}, {Nose}, and {Mouth}.""",review/archive/images\ece780da732cddd0812c30257270852a.jpg,A massive gathering of {People} organized in {Arrangement}.,review/archive/images\e5a1aa8b1666791f62e65924d65474cf.jpg
all_models_wrong,conflict_comp_ec46ab4c_fca0947a,compositional_formation,"""Group photo of {Group} arranged in a {Shape} formation on a {Background}.""",review/archive/images\ec46ab4c0047376101de83dd39032dfc.jpg,"""Creative use of {Food Items} to form a {Face} with elements like {Eyes}, {Nose}, and {Mouth}.""",review/archive/images\ece780da732cddd0812c30257270852a.jpg,Aerial view of a {Group} interacting with their {Leader} in a {Setting}.,review/archive/images\fca0947a0bb5636dded2d9d068ead2f0.jpg
all_models_wrong,conflict_comp_ece780da_f031e302,compositional_formation,"""Creative use of {Food Items} to form a {Face} with elements like {Eyes}, {Nose}, and {Mouth}.""",review/archive/images\ece780da732cddd0812c30257270852a.jpg,A group of {People} arranged in a circular formation around a central {Object}.,review/archive/images\ed3d84c842377464f884c300e72912c5.jpg,Creative illustrations featuring {Fruits} or {Vegetables} with human-like faces and expressive emotions.,review/archive/images\f031e302107087880f5c64cee7fb37ca.jpg
all_models_wrong,conflict_comp_ece780da_f1e0f426,compositional_formation,"""Creative use of {Food Items} to form a {Face} with elements like {Eyes}, {Nose}, and {Mouth}.""",review/archive/images\ece780da732cddd0812c30257270852a.jpg,A group of {People} arranged in a circular formation around a central {Object}.,review/archive/images\ed3d84c842377464f884c300e72912c5.jpg,"""Arrangement of {Objects} on forks placed vertically, creating a visually appealing pattern.""",review/archive/images\f1e0f42672aff1a50d9d7f3f8595739e.jpg
all_models_wrong,conflict_comp_ed3d84c8_fff8c604,compositional_formation,A group of {People} arranged in a circular formation around a central {Object}.,review/archive/images\ed3d84c842377464f884c300e72912c5.jpg,Creative tree designs using {Flowers} arranged to form a {Shape}.,review/archive/images\ed4e56476e4d0b60f47f65e85f6f64cb.jpg,"Visual representation of {Action} leading to {Goal}, depicted by {Subject} climbing {Steps}.",review/archive/images\fff8c6048ea8e4744aff3f8b5985393e.jpg
all_models_wrong,conflict_comp_ed4e5647_e6598661,compositional_formation,Creative tree designs using {Flowers} arranged to form a {Shape}.,review/archive/images\ed4e56476e4d0b60f47f65e85f6f64cb.jpg,Two {Animals} positioned in a way that forms a {Symbolic Shape}.,review/archive/images\ed7babd29e13995276c81cbb4bd1c9b5.jpg,A heart-shaped {Tree} rising from a {Background} to embody love or nature.,review/archive/images\e6598661363f0501e69101ee159e317b.jpg
all_models_wrong,conflict_comp_ed4e5647_effa9ae0,compositional_formation,Creative tree designs using {Flowers} arranged to form a {Shape}.,review/archive/images\ed4e56476e4d0b60f47f65e85f6f64cb.jpg,A creative arrangement of {Balloon} shaped like a {Object}.,review/archive/images\f3c9463ad33ca289567c0c759a4f3a84.jpg,"""360-degree view of {Landscapes} or {Structures} in a spherical panorama, showcasing {Scenery} from all angles.""",review/archive/images\effa9ae0fa5da83de8d07260db84bcac.jpg
all_models_wrong,conflict_comp_ed4e5647_f053de6f,compositional_formation,Creative tree designs using {Flowers} arranged to form a {Shape}.,review/archive/images\ed4e56476e4d0b60f47f65e85f6f64cb.jpg,Two {Animals} positioned in a way that forms a {Symbolic Shape}.,review/archive/images\ed7babd29e13995276c81cbb4bd1c9b5.jpg,"A {Shadow} cast on the surface by a {Object}, emphasizing depth and contrast.",review/archive/images\f053de6fca4190f2f7578a83daa3547c.jpg
all_models_wrong,conflict_comp_ed4e5647_f41ac4c9,compositional_formation,Creative tree designs using {Flowers} arranged to form a {Shape}.,review/archive/images\ed4e56476e4d0b60f47f65e85f6f64cb.jpg,Two {Animals} positioned in a way that forms a {Symbolic Shape}.,review/archive/images\ed7babd29e13995276c81cbb4bd1c9b5.jpg,Illustrated representation of {Seasons} featuring a {Tree} in four distinct {Scenes} with varying {Colors} and {Elements}.,review/archive/images\f41ac4c9320a5cdd405a68c1c09e9081.jpg
all_models_wrong,conflict_comp_f00c22c8_ecd09e61,compositional_formation,"A circular arrangement of {Objects} categorized by their {Type}, {Theme}, or {Characteristics}.",review/archive/images\f00c22c8e3adf8001d0c0d59b8db7c61.jpg,Creative use of {Food Items} to form a representation of {Terrain Features} on a plate.,review/archive/images\f3b7f230282e4d94752423bd1dd5cd24.jpg,Visual representation of a whole {Fruit} alongside a sliced piece showcasing the inner details and seeds.,review/archive/images\ecd09e61f99b3ec56c9be9708133860c.jpg
all_models_wrong,conflict_comp_f00c22c8_ecf449c9,compositional_formation,"A circular arrangement of {Objects} categorized by their {Type}, {Theme}, or {Characteristics}.",review/archive/images\f00c22c8e3adf8001d0c0d59b8db7c61.jpg,Creative use of {Food Items} to form a representation of {Terrain Features} on a plate.,review/archive/images\f3b7f230282e4d94752423bd1dd5cd24.jpg,The creation of {Food} through the combination of {Raw Ingredients} in a {Cooking Process}.,review/archive/images\ecf449c9866dc5eb843a212c3f49ccc9.jpg
all_models_wrong,conflict_comp_f00c22c8_f8ae57be,compositional_formation,"A circular arrangement of {Objects} categorized by their {Type}, {Theme}, or {Characteristics}.",review/archive/images\f00c22c8e3adf8001d0c0d59b8db7c61.jpg,Creative use of {Food Items} to form a representation of {Terrain Features} on a plate.,review/archive/images\f3b7f230282e4d94752423bd1dd5cd24.jpg,"An assortment of diverse {Food Items} organized by {Type}, {Ingredient}, or {Theme}.",review/archive/images\f8ae57beb301f3c302361044d6a89e49.jpg
all_models_wrong,conflict_comp_f3b7f230_ed490820,compositional_formation,Creative use of {Food Items} to form a representation of {Terrain Features} on a plate.,review/archive/images\f3b7f230282e4d94752423bd1dd5cd24.jpg,A creative arrangement of {Balloon} shaped like a {Object}.,review/archive/images\f3c9463ad33ca289567c0c759a4f3a84.jpg,A world map design incorporating {Pattern} as the background texture in a {Color} setting.,review/archive/images\ed4908205b43c4e69fcb2172a50661ac.jpg
all_models_wrong,conflict_comp_f3b7f230_f1e0f426,compositional_formation,Creative use of {Food Items} to form a representation of {Terrain Features} on a plate.,review/archive/images\f3b7f230282e4d94752423bd1dd5cd24.jpg,A creative arrangement of {Balloon} shaped like a {Object}.,review/archive/images\f3c9463ad33ca289567c0c759a4f3a84.jpg,"""Arrangement of {Objects} on forks placed vertically, creating a visually appealing pattern.""",review/archive/images\f1e0f42672aff1a50d9d7f3f8595739e.jpg
all_models_wrong,conflict_comp_f54e3fef_e6598661,compositional_formation,A creative display of {Flowers} forming a {Symbol}.,review/archive/images\f54e3fefe4206f79a3b37bfac1db08c8.jpg,Artistic representation of {Fruits} and {Vegetables} arranged into a {Face} design on a plate.,review/archive/images\f7a29de93eda4fe16ad3de37aa5fe409.jpg,A heart-shaped {Tree} rising from a {Background} to embody love or nature.,review/archive/images\e6598661363f0501e69101ee159e317b.jpg
all_models_wrong,conflict_comp_f54e3fef_f053de6f,compositional_formation,A creative display of {Flowers} forming a {Symbol}.,review/archive/images\f54e3fefe4206f79a3b37bfac1db08c8.jpg,Artistic representation of {Fruits} and {Vegetables} arranged into a {Face} design on a plate.,review/archive/images\f7a29de93eda4fe16ad3de37aa5fe409.jpg,"A {Shadow} cast on the surface by a {Object}, emphasizing depth and contrast.",review/archive/images\f053de6fca4190f2f7578a83daa3547c.jpg
all_models_wrong,conflict_comp_f7a829fa_fbef00d0,compositional_formation,A creative use of {Creative Object} made from {Ingredients} on a {Surface}.,review/archive/images\f7a829fad79772994d2abe53177f4e93.jpg,"An artistic depiction of {Region}'s iconic symbols and landmarks arranged within the map outline, highlighted by diverse {Color} and {Details}.",review/archive/images\f7f2191179e226b24aa8a20d9297f0f5.jpg,Creative use of {Shadow} to portray the form and texture of {Object} on a {Surface}.,review/archive/images\fbef00d09d05a527eb908a2dd887f44b.jpg
all_models_wrong,conflict_comp_f9575588_e710eb7f,compositional_formation,Artistic arrangements of {Fruit} and {Vegetables} shaped into the forms of various {Characters}.,review/archive/images\f9575588fb765aac970bc1766efd47f6.jpg,Creative use of {Objects} to form a {Shape}.,review/archive/images\df567ccf0076cfe15dc758ce5179fc77.jpg,"Creative illustrations of {Vegetables} engaging in various {Activities}, showcasing unique interactions with objects like {Exercise Equipment} and {Sports}.",review/archive/images\e710eb7f719dfdce8c721e39e1344b95.jpg
