item_id,section,decision,notes,hashes,similarity
conflict::e0fa6b5ae10efedbd0d7132ab05cf39f::ed8294c17d9f88574601f31b41c1a16c,conflict_negative,reject,,"e0fa6b5ae10efedbd0d7132ab05cf39f,ed8294c17d9f88574601f31b41c1a16c",cosine similarity = 0.695 (rank 3/5)
conflict::e0fa6b5ae10efedbd0d7132ab05cf39f::e70a0c9405880aa5878cf9b6113e70b0,conflict_negative,accept,,"e0fa6b5ae10efedbd0d7132ab05cf39f,e70a0c9405880aa5878cf9b6113e70b0",cosine similarity = 0.691 (rank 4/5)
conflict::e0fa6b5ae10efedbd0d7132ab05cf39f::e6235160e49c87ec11fff7aa511ec911,conflict_negative,accept,,"e0fa6b5ae10efedbd0d7132ab05cf39f,e6235160e49c87ec11fff7aa511ec911",cosine similarity = 0.678 (rank 5/5)
conflict::ed4e56476e4d0b60f47f65e85f6f64cb::f15b2be8b9f85a5ab560c727601890fe,conflict_negative,reject,,"ed4e56476e4d0b60f47f65e85f6f64cb,f15b2be8b9f85a5ab560c727601890fe",cosine similarity = 0.875 (rank 1/5)
conflict::ed4e56476e4d0b60f47f65e85f6f64cb::e699eb5f80a49467733cd08230692473,conflict_negative,reject,,"ed4e56476e4d0b60f47f65e85f6f64cb,e699eb5f80a49467733cd08230692473",cosine similarity = 0.814 (rank 2/5)
conflict::ed4e56476e4d0b60f47f65e85f6f64cb::ef99b0d40cc703687e90a4383c2e66ec,conflict_negative,reject,,"ed4e56476e4d0b60f47f65e85f6f64cb,ef99b0d40cc703687e90a4383c2e66ec",cosine similarity = 0.812 (rank 3/5)
conflict::ed4e56476e4d0b60f47f65e85f6f64cb::effa9ae0fa5da83de8d07260db84bcac,conflict_negative,accept,,"ed4e56476e4d0b60f47f65e85f6f64cb,effa9ae0fa5da83de8d07260db84bcac",cosine similarity = 0.773 (rank 4/5)
conflict::ed4e56476e4d0b60f47f65e85f6f64cb::ea3c3954f03f7d0dc6a149e096824453,conflict_negative,reject,,"ed4e56476e4d0b60f47f65e85f6f64cb,ea3c3954f03f7d0dc6a149e096824453",cosine similarity = 0.766 (rank 5/5)
conflict::ebb0a441f27c21308e90b6f3f9ab0d3f::f9e159e97723f6fdb3a8dc55692c1954,conflict_negative,accept,,"ebb0a441f27c21308e90b6f3f9ab0d3f,f9e159e97723f6fdb3a8dc55692c1954",cosine similarity = 0.708 (rank 1/5)
conflict::ebb0a441f27c21308e90b6f3f9ab0d3f::f436407c7327b61dd5d50424323fb0b6,conflict_negative,reject,,"ebb0a441f27c21308e90b6f3f9ab0d3f,f436407c7327b61dd5d50424323fb0b6",cosine similarity = 0.688 (rank 2/5)
conflict::ebb0a441f27c21308e90b6f3f9ab0d3f::f80a40b6e61d3c2f7bcbae17bace605c,conflict_negative,accept,,"ebb0a441f27c21308e90b6f3f9ab0d3f,f80a40b6e61d3c2f7bcbae17bace605c",cosine similarity = 0.667 (rank 3/5)
conflict::ebb0a441f27c21308e90b6f3f9ab0d3f::e7e77c1ab98f73a63c4d8922d5b1abf5,conflict_negative,accept,,"ebb0a441f27c21308e90b6f3f9ab0d3f,e7e77c1ab98f73a63c4d8922d5b1abf5",cosine similarity = 0.663 (rank 4/5)
conflict::ebb0a441f27c21308e90b6f3f9ab0d3f::ed45599d9891ca0fcf1a00a94616b261,conflict_negative,reject,,"ebb0a441f27c21308e90b6f3f9ab0d3f,ed45599d9891ca0fcf1a00a94616b261",cosine similarity = 0.644 (rank 5/5)
conflict::e291af82274868828f158594ef94fb55::f15b2be8b9f85a5ab560c727601890fe,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,f15b2be8b9f85a5ab560c727601890fe",cosine similarity = 0.727 (rank 1/5)
conflict::e291af82274868828f158594ef94fb55::ebee947c663d7c1e66065c1dc8e38f6c,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,ebee947c663d7c1e66065c1dc8e38f6c",cosine similarity = 0.707 (rank 2/5)
conflict::e291af82274868828f158594ef94fb55::f872d497781fec2fc740f4e9f049934b,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,f872d497781fec2fc740f4e9f049934b",cosine similarity = 0.704 (rank 3/5)
conflict::e291af82274868828f158594ef94fb55::e995bf12825a7c078c81d0285370e5c9,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,e995bf12825a7c078c81d0285370e5c9",cosine similarity = 0.686 (rank 4/5)
conflict::e291af82274868828f158594ef94fb55::e699eb5f80a49467733cd08230692473,conflict_negative,reject,,"e291af82274868828f158594ef94fb55,e699eb5f80a49467733cd08230692473",cosine similarity = 0.685 (rank 5/5)
conflict::e4402b2e7348f555b141c775291a2957::f62852779212603d96210013611bfa1a,conflict_negative,accept,,"e4402b2e7348f555b141c775291a2957,f62852779212603d96210013611bfa1a",cosine similarity = 0.762 (rank 1/5)
conflict::e4402b2e7348f555b141c775291a2957::ff03babbb0d4908dc16cb99716d5608e,conflict_negative,reject,,"e4402b2e7348f555b141c775291a2957,ff03babbb0d4908dc16cb99716d5608e",cosine similarity = 0.751 (rank 2/5)
conflict::e4402b2e7348f555b141c775291a2957::f0e7d69e8927b86cd5d5d2e59d7a52e2,conflict_negative,reject,,"e4402b2e7348f555b141c775291a2957,f0e7d69e8927b86cd5d5d2e59d7a52e2",cosine similarity = 0.738 (rank 3/5)
conflict::e4402b2e7348f555b141c775291a2957::df8a7aadeb1cedf65ac7e7251c2a9453,conflict_negative,reject,,"e4402b2e7348f555b141c775291a2957,df8a7aadeb1cedf65ac7e7251c2a9453",cosine similarity = 0.735 (rank 4/5)
conflict::e4402b2e7348f555b141c775291a2957::fb3b1c54bb123026296f8e2175bd5456,conflict_negative,reject,,"e4402b2e7348f555b141c775291a2957,fb3b1c54bb123026296f8e2175bd5456",cosine similarity = 0.729 (rank 5/5)
conflict::f9575588fb765aac970bc1766efd47f6::f031e302107087880f5c64cee7fb37ca,conflict_negative,accept,,"f9575588fb765aac970bc1766efd47f6,f031e302107087880f5c64cee7fb37ca",cosine similarity = 0.723 (rank 1/5)
conflict::f9575588fb765aac970bc1766efd47f6::e710eb7f719dfdce8c721e39e1344b95,conflict_negative,accept,,"f9575588fb765aac970bc1766efd47f6,e710eb7f719dfdce8c721e39e1344b95",cosine similarity = 0.687 (rank 2/5)
conflict::f9575588fb765aac970bc1766efd47f6::f00e2f4a980b63a253166050fb2c1e08,conflict_negative,reject,,"f9575588fb765aac970bc1766efd47f6,f00e2f4a980b63a253166050fb2c1e08",cosine similarity = 0.675 (rank 3/5)
conflict::f9575588fb765aac970bc1766efd47f6::e463f2b157f0eb6484b0b7c7680e086e,conflict_negative,reject,,"f9575588fb765aac970bc1766efd47f6,e463f2b157f0eb6484b0b7c7680e086e",cosine similarity = 0.670 (rank 4/5)
conflict::f9575588fb765aac970bc1766efd47f6::f0d0d9b3df6e8fa7ecd41a6f95850d82,conflict_negative,reject,,"f9575588fb765aac970bc1766efd47f6,f0d0d9b3df6e8fa7ecd41a6f95850d82",cosine similarity = 0.665 (rank 5/5)
conflict::f55b60c9a935834ea147badeb2553e73::eb1e430240a26491492d3b9ad0198b4b,conflict_negative,reject,,"f55b60c9a935834ea147badeb2553e73,eb1e430240a26491492d3b9ad0198b4b",cosine similarity = 0.640 (rank 1/5)
conflict::f55b60c9a935834ea147badeb2553e73::fe5f295c87c466df6e471eea9d2e313f,conflict_negative,accept,,"f55b60c9a935834ea147badeb2553e73,fe5f295c87c466df6e471eea9d2e313f",cosine similarity = 0.639 (rank 2/5)
conflict::f55b60c9a935834ea147badeb2553e73::e8c327bc9ba4a623f55da33a774a829a,conflict_negative,reject,,"f55b60c9a935834ea147badeb2553e73,e8c327bc9ba4a623f55da33a774a829a",cosine similarity = 0.639 (rank 3/5)
conflict::f55b60c9a935834ea147badeb2553e73::ee5703f7c56b8022166f393e7143a421,conflict_negative,accept,,"f55b60c9a935834ea147badeb2553e73,ee5703f7c56b8022166f393e7143a421",cosine similarity = 0.638 (rank 4/5)
conflict::f55b60c9a935834ea147badeb2553e73::f8c88b7f542843c9136f1bbcf5fb35e0,conflict_negative,reject,,"f55b60c9a935834ea147badeb2553e73,f8c88b7f542843c9136f1bbcf5fb35e0",cosine similarity = 0.636 (rank 5/5)
conflict::ee75ff67be9685d5e0f8f83c519954c1::e98f0bf7516edfd67c4645687bf394b9,conflict_negative,reject,,"ee75ff67be9685d5e0f8f83c519954c1,e98f0bf7516edfd67c4645687bf394b9",cosine similarity = 0.914 (rank 1/5)
conflict::ee75ff67be9685d5e0f8f83c519954c1::e9658cfe8fdab57b95d7fb0c1af97b21,conflict_negative,reject,,"ee75ff67be9685d5e0f8f83c519954c1,e9658cfe8fdab57b95d7fb0c1af97b21",cosine similarity = 0.746 (rank 2/5)
conflict::ee75ff67be9685d5e0f8f83c519954c1::e1dc301469487d4949307f51aa788ca4,conflict_negative,reject,,"ee75ff67be9685d5e0f8f83c519954c1,e1dc301469487d4949307f51aa788ca4",cosine similarity = 0.739 (rank 3/5)
conflict::ee75ff67be9685d5e0f8f83c519954c1::fab083c9555872536b9b4084f1adba44,conflict_negative,reject,,"ee75ff67be9685d5e0f8f83c519954c1,fab083c9555872536b9b4084f1adba44",cosine similarity = 0.737 (rank 4/5)
conflict::ee75ff67be9685d5e0f8f83c519954c1::fd26fbc48c9f0a3bc913093a368e8d5a,conflict_negative,reject,,"ee75ff67be9685d5e0f8f83c519954c1,fd26fbc48c9f0a3bc913093a368e8d5a",cosine similarity = 0.735 (rank 5/5)
conflict::f3c9463ad33ca289567c0c759a4f3a84::ee78a9b08cbcd9a1fd6621117050116b,conflict_negative,reject,,"f3c9463ad33ca289567c0c759a4f3a84,ee78a9b08cbcd9a1fd6621117050116b",cosine similarity = 0.806 (rank 1/5)
conflict::f3c9463ad33ca289567c0c759a4f3a84::fafba6a66cf67dfc260e01ddaf157b40,conflict_negative,accept,,"f3c9463ad33ca289567c0c759a4f3a84,fafba6a66cf67dfc260e01ddaf157b40",cosine similarity = 0.793 (rank 2/5)
conflict::f3c9463ad33ca289567c0c759a4f3a84::f8a6c5cbf5bf73168b9d24964898fafa,conflict_negative,accept,,"f3c9463ad33ca289567c0c759a4f3a84,f8a6c5cbf5bf73168b9d24964898fafa",cosine similarity = 0.739 (rank 3/5)
conflict::f3c9463ad33ca289567c0c759a4f3a84::f13f834f33aaa969e6fed6890ccb5243,conflict_negative,reject,,"f3c9463ad33ca289567c0c759a4f3a84,f13f834f33aaa969e6fed6890ccb5243",cosine similarity = 0.715 (rank 4/5)
conflict::f3c9463ad33ca289567c0c759a4f3a84::ee7f5a3836e221d28c962845e6143e61,conflict_negative,reject,,"f3c9463ad33ca289567c0c759a4f3a84,ee7f5a3836e221d28c962845e6143e61",cosine similarity = 0.712 (rank 5/5)
conflict::df060e263ffcb757d257f8e7e61aaad4::ef9cce39539e6545635d41013855be35,conflict_negative,accept,,"df060e263ffcb757d257f8e7e61aaad4,ef9cce39539e6545635d41013855be35",cosine similarity = 0.743 (rank 1/5)
conflict::df060e263ffcb757d257f8e7e61aaad4::ffd9b8af6f5d64db6b6dab4d2efa5caa,conflict_negative,reject,,"df060e263ffcb757d257f8e7e61aaad4,ffd9b8af6f5d64db6b6dab4d2efa5caa",cosine similarity = 0.722 (rank 2/5)
conflict::df060e263ffcb757d257f8e7e61aaad4::e5312af965f7fa9d89a6169154a0f137,conflict_negative,reject,,"df060e263ffcb757d257f8e7e61aaad4,e5312af965f7fa9d89a6169154a0f137",cosine similarity = 0.719 (rank 3/5)
conflict::df060e263ffcb757d257f8e7e61aaad4::eb62f1fa673736ecae278244515f6bbe,conflict_negative,reject,,"df060e263ffcb757d257f8e7e61aaad4,eb62f1fa673736ecae278244515f6bbe",cosine similarity = 0.715 (rank 4/5)
conflict::df060e263ffcb757d257f8e7e61aaad4::f763eb2806c96e8f222a77eff8f73f28,conflict_negative,reject,,"df060e263ffcb757d257f8e7e61aaad4,f763eb2806c96e8f222a77eff8f73f28",cosine similarity = 0.714 (rank 5/5)
conflict::ed83ebbc55d3e4338818b3dbb02fe695::e22288fadccfe610019bbd2edcd1e3c3,conflict_negative,reject,,"ed83ebbc55d3e4338818b3dbb02fe695,e22288fadccfe610019bbd2edcd1e3c3",cosine similarity = 0.617 (rank 1/5)
conflict::ed83ebbc55d3e4338818b3dbb02fe695::e7f73c55ec5b6d8d10a4daa8fbffc306,conflict_negative,reject,,"ed83ebbc55d3e4338818b3dbb02fe695,e7f73c55ec5b6d8d10a4daa8fbffc306",cosine similarity = 0.606 (rank 2/5)
conflict::ed83ebbc55d3e4338818b3dbb02fe695::e310096e987b7283538ff61200a6190a,conflict_negative,accept,,"ed83ebbc55d3e4338818b3dbb02fe695,e310096e987b7283538ff61200a6190a",cosine similarity = 0.564 (rank 3/5)
conflict::ed83ebbc55d3e4338818b3dbb02fe695::f9a513c153a0dbecd1973de3a55e70ea,conflict_negative,accept,,"ed83ebbc55d3e4338818b3dbb02fe695,f9a513c153a0dbecd1973de3a55e70ea",cosine similarity = 0.559 (rank 4/5)
conflict::ed83ebbc55d3e4338818b3dbb02fe695::e939f5076e4f65fbe99e44e175df3b76,conflict_negative,accept,,"ed83ebbc55d3e4338818b3dbb02fe695,e939f5076e4f65fbe99e44e175df3b76",cosine similarity = 0.541 (rank 5/5)
conflict::e64769e22e0a62fe6aa93b7798cef8f4::ef958172d693489727ea59ad947aea84,conflict_negative,accept,,"e64769e22e0a62fe6aa93b7798cef8f4,ef958172d693489727ea59ad947aea84",cosine similarity = 0.677 (rank 1/5)
conflict::e64769e22e0a62fe6aa93b7798cef8f4::e1b9b00d7ccd76702744832c98fb8e78,conflict_negative,accept,,"e64769e22e0a62fe6aa93b7798cef8f4,e1b9b00d7ccd76702744832c98fb8e78",cosine similarity = 0.659 (rank 2/5)
conflict::e64769e22e0a62fe6aa93b7798cef8f4::dfaa7fbfe0ff14ecbf82bee35df6bf5b,conflict_negative,reject,,"e64769e22e0a62fe6aa93b7798cef8f4,dfaa7fbfe0ff14ecbf82bee35df6bf5b",cosine similarity = 0.658 (rank 3/5)
conflict::e64769e22e0a62fe6aa93b7798cef8f4::df6db38edb975f96046c8125ef475fa4,conflict_negative,accept,,"e64769e22e0a62fe6aa93b7798cef8f4,df6db38edb975f96046c8125ef475fa4",cosine similarity = 0.597 (rank 4/5)
conflict::e64769e22e0a62fe6aa93b7798cef8f4::f00e2f4a980b63a253166050fb2c1e08,conflict_negative,reject,,"e64769e22e0a62fe6aa93b7798cef8f4,f00e2f4a980b63a253166050fb2c1e08",cosine similarity = 0.583 (rank 5/5)
conflict::f910f8cd550d71199357803316171d8e::fdf627ab7822e2b6cc8ae8c676b516b7,conflict_negative,reject,,"f910f8cd550d71199357803316171d8e,fdf627ab7822e2b6cc8ae8c676b516b7",cosine similarity = 0.835 (rank 1/5)
conflict::f910f8cd550d71199357803316171d8e::e63f6a2185c0dbf25915cd30dbd8f418,conflict_negative,accept,,"f910f8cd550d71199357803316171d8e,e63f6a2185c0dbf25915cd30dbd8f418",cosine similarity = 0.758 (rank 2/5)
conflict::f910f8cd550d71199357803316171d8e::e5774f786e088de0315ef92fcbbd4211,conflict_negative,reject,,"f910f8cd550d71199357803316171d8e,e5774f786e088de0315ef92fcbbd4211",cosine similarity = 0.716 (rank 3/5)
conflict::f910f8cd550d71199357803316171d8e::e290b68c2085e90365d1c16a4b4609c8,conflict_negative,reject,,"f910f8cd550d71199357803316171d8e,e290b68c2085e90365d1c16a4b4609c8",cosine similarity = 0.711 (rank 4/5)
conflict::f910f8cd550d71199357803316171d8e::ef41feac3a4582e238535ca209f59f21,conflict_negative,reject,,"f910f8cd550d71199357803316171d8e,ef41feac3a4582e238535ca209f59f21",cosine similarity = 0.709 (rank 5/5)
conflict::e91c016d738c8981682a96d5d19a8ffc::f84e693f9be137de582463b538a9a065,conflict_negative,accept,,"e91c016d738c8981682a96d5d19a8ffc,f84e693f9be137de582463b538a9a065",cosine similarity = 0.745 (rank 1/5)
conflict::e91c016d738c8981682a96d5d19a8ffc::f8ae57beb301f3c302361044d6a89e49,conflict_negative,accept,,"e91c016d738c8981682a96d5d19a8ffc,f8ae57beb301f3c302361044d6a89e49",cosine similarity = 0.718 (rank 2/5)
conflict::e91c016d738c8981682a96d5d19a8ffc::ecf449c9866dc5eb843a212c3f49ccc9,conflict_negative,accept,,"e91c016d738c8981682a96d5d19a8ffc,ecf449c9866dc5eb843a212c3f49ccc9",cosine similarity = 0.705 (rank 3/5)
conflict::e91c016d738c8981682a96d5d19a8ffc::e710eb7f719dfdce8c721e39e1344b95,conflict_negative,reject,,"e91c016d738c8981682a96d5d19a8ffc,e710eb7f719dfdce8c721e39e1344b95",cosine similarity = 0.702 (rank 4/5)
conflict::e91c016d738c8981682a96d5d19a8ffc::f15b2be8b9f85a5ab560c727601890fe,conflict_negative,reject,,"e91c016d738c8981682a96d5d19a8ffc,f15b2be8b9f85a5ab560c727601890fe",cosine similarity = 0.691 (rank 5/5)
conflict::e0077c41c38d5e6857a4d343c0cbc889::eb354b7696549fd097a044a80db7828f,conflict_negative,accept,,"e0077c41c38d5e6857a4d343c0cbc889,eb354b7696549fd097a044a80db7828f",cosine similarity = 0.522 (rank 1/5)
conflict::e0077c41c38d5e6857a4d343c0cbc889::ea131676b6beb34de454ae471060899b,conflict_negative,accept,,"e0077c41c38d5e6857a4d343c0cbc889,ea131676b6beb34de454ae471060899b",cosine similarity = 0.501 (rank 2/5)
conflict::e0077c41c38d5e6857a4d343c0cbc889::df4c431ec9bbf2cba79cffd829c13f1a,conflict_negative,reject,,"e0077c41c38d5e6857a4d343c0cbc889,df4c431ec9bbf2cba79cffd829c13f1a",cosine similarity = 0.491 (rank 3/5)
conflict::e0077c41c38d5e6857a4d343c0cbc889::fcaa47298b65a6dc3d4c11edf57ae433,conflict_negative,reject,,"e0077c41c38d5e6857a4d343c0cbc889,fcaa47298b65a6dc3d4c11edf57ae433",cosine similarity = 0.489 (rank 4/5)
conflict::e0077c41c38d5e6857a4d343c0cbc889::ecedb3481ce00993bc574b17fa07be60,conflict_negative,reject,,"e0077c41c38d5e6857a4d343c0cbc889,ecedb3481ce00993bc574b17fa07be60",cosine similarity = 0.487 (rank 5/5)
conflict::f37aebc58e6f499c7b3bdf740e730ca1::f6b27f58c459342d805416139ba7aaeb,conflict_negative,reject,,"f37aebc58e6f499c7b3bdf740e730ca1,f6b27f58c459342d805416139ba7aaeb",cosine similarity = 0.787 (rank 1/5)
conflict::f37aebc58e6f499c7b3bdf740e730ca1::f16b49b38517684a39799a2881b3b3a9,conflict_negative,reject,,"f37aebc58e6f499c7b3bdf740e730ca1,f16b49b38517684a39799a2881b3b3a9",cosine similarity = 0.774 (rank 2/5)
conflict::f37aebc58e6f499c7b3bdf740e730ca1::e2840d4faae37e2a68fbab19e7630b62,conflict_negative,accept,,"f37aebc58e6f499c7b3bdf740e730ca1,e2840d4faae37e2a68fbab19e7630b62",cosine similarity = 0.742 (rank 3/5)
conflict::f37aebc58e6f499c7b3bdf740e730ca1::f84e693f9be137de582463b538a9a065,conflict_negative,reject,,"f37aebc58e6f499c7b3bdf740e730ca1,f84e693f9be137de582463b538a9a065",cosine similarity = 0.742 (rank 4/5)
conflict::f37aebc58e6f499c7b3bdf740e730ca1::e1644c0337b88924fc56eef4638c1f91,conflict_negative,accept,,"f37aebc58e6f499c7b3bdf740e730ca1,e1644c0337b88924fc56eef4638c1f91",cosine similarity = 0.738 (rank 5/5)
conflict::fd170b47807317844cf1df55b1bce272::e699eb5f80a49467733cd08230692473,conflict_negative,reject,,"fd170b47807317844cf1df55b1bce272,e699eb5f80a49467733cd08230692473",cosine similarity = 0.849 (rank 1/5)
conflict::fd170b47807317844cf1df55b1bce272::f15b2be8b9f85a5ab560c727601890fe,conflict_negative,reject,,"fd170b47807317844cf1df55b1bce272,f15b2be8b9f85a5ab560c727601890fe",cosine similarity = 0.848 (rank 2/5)
conflict::fd170b47807317844cf1df55b1bce272::f84e693f9be137de582463b538a9a065,conflict_negative,accept,,"fd170b47807317844cf1df55b1bce272,f84e693f9be137de582463b538a9a065",cosine similarity = 0.833 (rank 3/5)
conflict::fd170b47807317844cf1df55b1bce272::ef99b0d40cc703687e90a4383c2e66ec,conflict_negative,accept,,"fd170b47807317844cf1df55b1bce272,ef99b0d40cc703687e90a4383c2e66ec",cosine similarity = 0.798 (rank 4/5)
conflict::fd170b47807317844cf1df55b1bce272::e201cc39dd39caa8863f9f73fb24ddc8,conflict_negative,reject,,"fd170b47807317844cf1df55b1bce272,e201cc39dd39caa8863f9f73fb24ddc8",cosine similarity = 0.792 (rank 5/5)
conflict::ea7b131201f4ec87f23caade7326f630::e9b34df47d5603d8e1219d9fc02039f1,conflict_negative,accept,,"ea7b131201f4ec87f23caade7326f630,e9b34df47d5603d8e1219d9fc02039f1",cosine similarity = 0.604 (rank 1/5)
