item_id,section,decision,notes,hashes,similarity
conflict2::df567ccf0076cfe15dc758ce5179fc77::f14eed629c671ca320414b7bed2dc430,conflict_negative,accept,,"df567ccf0076cfe15dc758ce5179fc77,f14eed629c671ca320414b7bed2dc430",cosine similarity = 0.764
conflict2::df567ccf0076cfe15dc758ce5179fc77::e41101b86180e9cd957adf83826f9f00,conflict_negative,accept,,"df567ccf0076cfe15dc758ce5179fc77,e41101b86180e9cd957adf83826f9f00",cosine similarity = 0.763
conflict2::df567ccf0076cfe15dc758ce5179fc77::e6598661363f0501e69101ee159e317b,conflict_negative,accept,,"df567ccf0076cfe15dc758ce5179fc77,e6598661363f0501e69101ee159e317b",cosine similarity = 0.759
conflict2::df567ccf0076cfe15dc758ce5179fc77::fbef00d09d05a527eb908a2dd887f44b,conflict_negative,accept,,"df567ccf0076cfe15dc758ce5179fc77,fbef00d09d05a527eb908a2dd887f44b",cosine similarity = 0.752
conflict2::e602b6e92f6c54573e1bb4ad48667e69::e2d44a0f13baa10c03fb15f79e2b75dd,conflict_negative,reject,,"e602b6e92f6c54573e1bb4ad48667e69,e2d44a0f13baa10c03fb15f79e2b75dd",cosine similarity = 0.706
conflict2::e602b6e92f6c54573e1bb4ad48667e69::ee84d45355ecb2bd035977cc28e1b32d,conflict_negative,reject,,"e602b6e92f6c54573e1bb4ad48667e69,ee84d45355ecb2bd035977cc28e1b32d",cosine similarity = 0.656
conflict2::e602b6e92f6c54573e1bb4ad48667e69::f7834e45e54bf1730c9beb37302baa5b,conflict_negative,accept,,"e602b6e92f6c54573e1bb4ad48667e69,f7834e45e54bf1730c9beb37302baa5b",cosine similarity = 0.641
conflict2::e602b6e92f6c54573e1bb4ad48667e69::df25b845fe06c20bb58e31317d214241,conflict_negative,reject,,"e602b6e92f6c54573e1bb4ad48667e69,df25b845fe06c20bb58e31317d214241",cosine similarity = 0.637
conflict2::e602b6e92f6c54573e1bb4ad48667e69::e66ab0d2b48b421fa2419f896ed9e393,conflict_negative,reject,,"e602b6e92f6c54573e1bb4ad48667e69,e66ab0d2b48b421fa2419f896ed9e393",cosine similarity = 0.628
conflict2::ff5940726a793e5a8f4ea9e13a6f691e::e5021a57025225dbc1a6074febefa829,conflict_negative,reject,,"ff5940726a793e5a8f4ea9e13a6f691e,e5021a57025225dbc1a6074febefa829",cosine similarity = 0.759
conflict2::ff5940726a793e5a8f4ea9e13a6f691e::f4a9ff4f69db1d8a8809ab5669329e3b,conflict_negative,reject,,"ff5940726a793e5a8f4ea9e13a6f691e,f4a9ff4f69db1d8a8809ab5669329e3b",cosine similarity = 0.723
conflict2::ff5940726a793e5a8f4ea9e13a6f691e::e1e25461f7ca57af4995b2446dc4fa44,conflict_negative,reject,,"ff5940726a793e5a8f4ea9e13a6f691e,e1e25461f7ca57af4995b2446dc4fa44",cosine similarity = 0.711
conflict2::ff5940726a793e5a8f4ea9e13a6f691e::fe4867b5ea44175f71d90824f3524789,conflict_negative,reject,,"ff5940726a793e5a8f4ea9e13a6f691e,fe4867b5ea44175f71d90824f3524789",cosine similarity = 0.698
conflict2::ff5940726a793e5a8f4ea9e13a6f691e::e78219c9cccc2ef4266c56a4fd31112a,conflict_negative,reject,,"ff5940726a793e5a8f4ea9e13a6f691e,e78219c9cccc2ef4266c56a4fd31112a",cosine similarity = 0.698
conflict2::e439da05427b410c1f832742dc38c5a8::ececb0e026f2bb4c8a2d8ced440f7799,conflict_negative,accept,,"e439da05427b410c1f832742dc38c5a8,ececb0e026f2bb4c8a2d8ced440f7799",cosine similarity = 0.819
conflict2::e439da05427b410c1f832742dc38c5a8::ebee947c663d7c1e66065c1dc8e38f6c,conflict_negative,reject,,"e439da05427b410c1f832742dc38c5a8,ebee947c663d7c1e66065c1dc8e38f6c",cosine similarity = 0.807
conflict2::e439da05427b410c1f832742dc38c5a8::e699eb5f80a49467733cd08230692473,conflict_negative,reject,,"e439da05427b410c1f832742dc38c5a8,e699eb5f80a49467733cd08230692473",cosine similarity = 0.779
conflict2::e439da05427b410c1f832742dc38c5a8::f15b2be8b9f85a5ab560c727601890fe,conflict_negative,reject,,"e439da05427b410c1f832742dc38c5a8,f15b2be8b9f85a5ab560c727601890fe",cosine similarity = 0.772
conflict2::e439da05427b410c1f832742dc38c5a8::f437b45f3f6085b94baff1dc88b47a51,conflict_negative,reject,,"e439da05427b410c1f832742dc38c5a8,f437b45f3f6085b94baff1dc88b47a51",cosine similarity = 0.761
conflict2::f7f2191179e226b24aa8a20d9297f0f5::ee7d40ecfb91948e729d6744c660b871,conflict_negative,reject,,"f7f2191179e226b24aa8a20d9297f0f5,ee7d40ecfb91948e729d6744c660b871",cosine similarity = 0.838
conflict2::f7f2191179e226b24aa8a20d9297f0f5::ed4908205b43c4e69fcb2172a50661ac,conflict_negative,accept,,"f7f2191179e226b24aa8a20d9297f0f5,ed4908205b43c4e69fcb2172a50661ac",cosine similarity = 0.758
conflict2::f7f2191179e226b24aa8a20d9297f0f5::edd38ba03b58b3ad4fdce29ce6364c20,conflict_negative,reject,,"f7f2191179e226b24aa8a20d9297f0f5,edd38ba03b58b3ad4fdce29ce6364c20",cosine similarity = 0.746
conflict2::f7f2191179e226b24aa8a20d9297f0f5::f0179de6164d0122bdbf52bb279a776c,conflict_negative,accept,,"f7f2191179e226b24aa8a20d9297f0f5,f0179de6164d0122bdbf52bb279a776c",cosine similarity = 0.733
conflict2::f7f2191179e226b24aa8a20d9297f0f5::e5021a57025225dbc1a6074febefa829,conflict_negative,reject,,"f7f2191179e226b24aa8a20d9297f0f5,e5021a57025225dbc1a6074febefa829",cosine similarity = 0.730
conflict2::e2c548634699e005593eff2f73406127::fc829af23e0fda1f62b5bbdbc9465c03,conflict_negative,reject,,"e2c548634699e005593eff2f73406127,fc829af23e0fda1f62b5bbdbc9465c03",cosine similarity = 0.747
conflict2::e2c548634699e005593eff2f73406127::ed3c7c91c841e2768bf9c713593b940a,conflict_negative,accept,,"e2c548634699e005593eff2f73406127,ed3c7c91c841e2768bf9c713593b940a",cosine similarity = 0.730
conflict2::e2c548634699e005593eff2f73406127::ecd09e61f99b3ec56c9be9708133860c,conflict_negative,reject,,"e2c548634699e005593eff2f73406127,ecd09e61f99b3ec56c9be9708133860c",cosine similarity = 0.721
conflict2::e2c548634699e005593eff2f73406127::e12ac2ef2e56618ddc59da38d22dea58,conflict_negative,reject,,"e2c548634699e005593eff2f73406127,e12ac2ef2e56618ddc59da38d22dea58",cosine similarity = 0.715
conflict2::e2c548634699e005593eff2f73406127::f689298082427e6bc96f62c1d06e16cf,conflict_negative,reject,,"e2c548634699e005593eff2f73406127,f689298082427e6bc96f62c1d06e16cf",cosine similarity = 0.714
conflict2::ece780da732cddd0812c30257270852a::f1e0f42672aff1a50d9d7f3f8595739e,conflict_negative,accept,,"ece780da732cddd0812c30257270852a,f1e0f42672aff1a50d9d7f3f8595739e",cosine similarity = 0.758
conflict2::ece780da732cddd0812c30257270852a::efc3647bc318569da0f19737bba52c35,conflict_negative,reject,,"ece780da732cddd0812c30257270852a,efc3647bc318569da0f19737bba52c35",cosine similarity = 0.746
conflict2::ece780da732cddd0812c30257270852a::f031e302107087880f5c64cee7fb37ca,conflict_negative,accept,,"ece780da732cddd0812c30257270852a,f031e302107087880f5c64cee7fb37ca",cosine similarity = 0.741
conflict2::ece780da732cddd0812c30257270852a::faf49f4a225e86bcd07dbdd1c7ca6c25,conflict_negative,accept,,"ece780da732cddd0812c30257270852a,faf49f4a225e86bcd07dbdd1c7ca6c25",cosine similarity = 0.741
conflict2::ece780da732cddd0812c30257270852a::f7834e45e54bf1730c9beb37302baa5b,conflict_negative,reject,,"ece780da732cddd0812c30257270852a,f7834e45e54bf1730c9beb37302baa5b",cosine similarity = 0.740
conflict2::fc243ea76c7c4291aee3296ea9949076::e9d2e9e5b0da50f79bbeee819542b21e,conflict_negative,reject,,"fc243ea76c7c4291aee3296ea9949076,e9d2e9e5b0da50f79bbeee819542b21e",cosine similarity = 0.750
conflict2::fc243ea76c7c4291aee3296ea9949076::fc829af23e0fda1f62b5bbdbc9465c03,conflict_negative,reject,,"fc243ea76c7c4291aee3296ea9949076,fc829af23e0fda1f62b5bbdbc9465c03",cosine similarity = 0.716
conflict2::fc243ea76c7c4291aee3296ea9949076::f39baa5961ba30fc1943d0cd737c73e3,conflict_negative,reject,,"fc243ea76c7c4291aee3296ea9949076,f39baa5961ba30fc1943d0cd737c73e3",cosine similarity = 0.708
conflict2::fc243ea76c7c4291aee3296ea9949076::ecd09e61f99b3ec56c9be9708133860c,conflict_negative,reject,,"fc243ea76c7c4291aee3296ea9949076,ecd09e61f99b3ec56c9be9708133860c",cosine similarity = 0.705
conflict2::fc243ea76c7c4291aee3296ea9949076::ee7f5a3836e221d28c962845e6143e61,conflict_negative,reject,,"fc243ea76c7c4291aee3296ea9949076,ee7f5a3836e221d28c962845e6143e61",cosine similarity = 0.703
conflict2::ebb5408257fe0b7ddad9ca0ccbd9a3d8::f1e0f42672aff1a50d9d7f3f8595739e,conflict_negative,reject,,"ebb5408257fe0b7ddad9ca0ccbd9a3d8,f1e0f42672aff1a50d9d7f3f8595739e",cosine similarity = 0.775
conflict2::ebb5408257fe0b7ddad9ca0ccbd9a3d8::f8ae57beb301f3c302361044d6a89e49,conflict_negative,accept,,"ebb5408257fe0b7ddad9ca0ccbd9a3d8,f8ae57beb301f3c302361044d6a89e49",cosine similarity = 0.751
conflict2::ebb5408257fe0b7ddad9ca0ccbd9a3d8::f39baa5961ba30fc1943d0cd737c73e3,conflict_negative,accept,,"ebb5408257fe0b7ddad9ca0ccbd9a3d8,f39baa5961ba30fc1943d0cd737c73e3",cosine similarity = 0.731
conflict2::ebb5408257fe0b7ddad9ca0ccbd9a3d8::e7c6c07974a5926aab450ff780014cdc,conflict_negative,reject,,"ebb5408257fe0b7ddad9ca0ccbd9a3d8,e7c6c07974a5926aab450ff780014cdc",cosine similarity = 0.722
conflict2::ebb5408257fe0b7ddad9ca0ccbd9a3d8::eeac8a2244faceedd3a4f96bc156a8e4,conflict_negative,reject,,"ebb5408257fe0b7ddad9ca0ccbd9a3d8,eeac8a2244faceedd3a4f96bc156a8e4",cosine similarity = 0.721
conflict2::e97285c45babdf9add84a947460ca199::e699eb5f80a49467733cd08230692473,conflict_negative,reject,,"e97285c45babdf9add84a947460ca199,e699eb5f80a49467733cd08230692473",cosine similarity = 0.856
conflict2::e97285c45babdf9add84a947460ca199::edd38ba03b58b3ad4fdce29ce6364c20,conflict_negative,reject,,"e97285c45babdf9add84a947460ca199,edd38ba03b58b3ad4fdce29ce6364c20",cosine similarity = 0.828
conflict2::e97285c45babdf9add84a947460ca199::fff8c6048ea8e4744aff3f8b5985393e,conflict_negative,reject,,"e97285c45babdf9add84a947460ca199,fff8c6048ea8e4744aff3f8b5985393e",cosine similarity = 0.783
conflict2::e97285c45babdf9add84a947460ca199::f903e5c6e5a1f5c4a002b429eaa7bad8,conflict_negative,reject,,"e97285c45babdf9add84a947460ca199,f903e5c6e5a1f5c4a002b429eaa7bad8",cosine similarity = 0.778
conflict2::e97285c45babdf9add84a947460ca199::fb39818e1ad3029b9e0dcacfecaf6f24,conflict_negative,reject,,"e97285c45babdf9add84a947460ca199,fb39818e1ad3029b9e0dcacfecaf6f24",cosine similarity = 0.769
conflict2::fb19ab1775daf34c1969a812f74f6480::ee7f5a3836e221d28c962845e6143e61,conflict_negative,reject,,"fb19ab1775daf34c1969a812f74f6480,ee7f5a3836e221d28c962845e6143e61",cosine similarity = 0.690
conflict2::fb19ab1775daf34c1969a812f74f6480::e9d2e9e5b0da50f79bbeee819542b21e,conflict_negative,reject,,"fb19ab1775daf34c1969a812f74f6480,e9d2e9e5b0da50f79bbeee819542b21e",cosine similarity = 0.689
conflict2::fb19ab1775daf34c1969a812f74f6480::e7efcb08dd5c491b100be36947c52ec3,conflict_negative,reject,,"fb19ab1775daf34c1969a812f74f6480,e7efcb08dd5c491b100be36947c52ec3",cosine similarity = 0.669
conflict2::fb19ab1775daf34c1969a812f74f6480::ea77f0defff205ac0521c660b352d894,conflict_negative,reject,,"fb19ab1775daf34c1969a812f74f6480,ea77f0defff205ac0521c660b352d894",cosine similarity = 0.662
conflict2::fb19ab1775daf34c1969a812f74f6480::eb8632cb2faa7376682df73f01c99fce,conflict_negative,reject,,"fb19ab1775daf34c1969a812f74f6480,eb8632cb2faa7376682df73f01c99fce",cosine similarity = 0.661
conflict2::ef627e29095ef3964e0e9681577c4868::edd38ba03b58b3ad4fdce29ce6364c20,conflict_negative,reject,,"ef627e29095ef3964e0e9681577c4868,edd38ba03b58b3ad4fdce29ce6364c20",cosine similarity = 0.777
conflict2::ef627e29095ef3964e0e9681577c4868::e699eb5f80a49467733cd08230692473,conflict_negative,reject,,"ef627e29095ef3964e0e9681577c4868,e699eb5f80a49467733cd08230692473",cosine similarity = 0.758
conflict2::ef627e29095ef3964e0e9681577c4868::effa9ae0fa5da83de8d07260db84bcac,conflict_negative,accept,,"ef627e29095ef3964e0e9681577c4868,effa9ae0fa5da83de8d07260db84bcac",cosine similarity = 0.723
conflict2::ef627e29095ef3964e0e9681577c4868::e6598661363f0501e69101ee159e317b,conflict_negative,accept,,"ef627e29095ef3964e0e9681577c4868,e6598661363f0501e69101ee159e317b",cosine similarity = 0.720
conflict2::ef627e29095ef3964e0e9681577c4868::fff8c6048ea8e4744aff3f8b5985393e,conflict_negative,reject,,"ef627e29095ef3964e0e9681577c4868,fff8c6048ea8e4744aff3f8b5985393e",cosine similarity = 0.699
conflict2::f8cf828cc20d191a97f47d958a8eb85a::e054c08eacfa5aa9aa241afbdcd7e17c,conflict_negative,reject,,"f8cf828cc20d191a97f47d958a8eb85a,e054c08eacfa5aa9aa241afbdcd7e17c",cosine similarity = 0.699
conflict2::f8cf828cc20d191a97f47d958a8eb85a::ef6a50ecd634b80f208047ff2959d593,conflict_negative,reject,,"f8cf828cc20d191a97f47d958a8eb85a,ef6a50ecd634b80f208047ff2959d593",cosine similarity = 0.694
conflict2::f8cf828cc20d191a97f47d958a8eb85a::e30d1402c1b9731e15b14dc9a55b985f,conflict_negative,reject,,"f8cf828cc20d191a97f47d958a8eb85a,e30d1402c1b9731e15b14dc9a55b985f",cosine similarity = 0.692
conflict2::f8cf828cc20d191a97f47d958a8eb85a::e78219c9cccc2ef4266c56a4fd31112a,conflict_negative,reject,,"f8cf828cc20d191a97f47d958a8eb85a,e78219c9cccc2ef4266c56a4fd31112a",cosine similarity = 0.689
conflict2::f8cf828cc20d191a97f47d958a8eb85a::ee17c491dc9d67cf0a72a0739ffb1d8c,conflict_negative,reject,,"f8cf828cc20d191a97f47d958a8eb85a,ee17c491dc9d67cf0a72a0739ffb1d8c",cosine similarity = 0.675
conflict2::e79ae1196097a1e758d42426856eae47::f437b45f3f6085b94baff1dc88b47a51,conflict_negative,reject,,"e79ae1196097a1e758d42426856eae47,f437b45f3f6085b94baff1dc88b47a51",cosine similarity = 0.736
conflict2::e79ae1196097a1e758d42426856eae47::eab9718442e49f681ea9d88e53ffa8b8,conflict_negative,reject,,"e79ae1196097a1e758d42426856eae47,eab9718442e49f681ea9d88e53ffa8b8",cosine similarity = 0.732
conflict2::e79ae1196097a1e758d42426856eae47::e4a54c097e62d85c0c7a166b75b4fd1c,conflict_negative,reject,,"e79ae1196097a1e758d42426856eae47,e4a54c097e62d85c0c7a166b75b4fd1c",cosine similarity = 0.708
conflict2::e79ae1196097a1e758d42426856eae47::e78219c9cccc2ef4266c56a4fd31112a,conflict_negative,reject,,"e79ae1196097a1e758d42426856eae47,e78219c9cccc2ef4266c56a4fd31112a",cosine similarity = 0.704
conflict2::e79ae1196097a1e758d42426856eae47::fe7b612089322546a93e51d399fa9a64,conflict_negative,accept,,"e79ae1196097a1e758d42426856eae47,fe7b612089322546a93e51d399fa9a64",cosine similarity = 0.703
conflict2::e9bbae0e4f3ead3060b916e63593ad9d::f1e0f42672aff1a50d9d7f3f8595739e,conflict_negative,accept,,"e9bbae0e4f3ead3060b916e63593ad9d,f1e0f42672aff1a50d9d7f3f8595739e",cosine similarity = 0.807
conflict2::e9bbae0e4f3ead3060b916e63593ad9d::f8ae57beb301f3c302361044d6a89e49,conflict_negative,accept,,"e9bbae0e4f3ead3060b916e63593ad9d,f8ae57beb301f3c302361044d6a89e49",cosine similarity = 0.806
conflict2::e9bbae0e4f3ead3060b916e63593ad9d::ecf449c9866dc5eb843a212c3f49ccc9,conflict_negative,accept,,"e9bbae0e4f3ead3060b916e63593ad9d,ecf449c9866dc5eb843a212c3f49ccc9",cosine similarity = 0.776
conflict2::e9bbae0e4f3ead3060b916e63593ad9d::f031e302107087880f5c64cee7fb37ca,conflict_negative,accept,,"e9bbae0e4f3ead3060b916e63593ad9d,f031e302107087880f5c64cee7fb37ca",cosine similarity = 0.760
conflict2::e9bbae0e4f3ead3060b916e63593ad9d::e118c68f7ecc5f404174c41a08317d0b,conflict_negative,reject,,"e9bbae0e4f3ead3060b916e63593ad9d,e118c68f7ecc5f404174c41a08317d0b",cosine similarity = 0.757
conflict2::e9f1105995cfa1ba8673317081ddfd59::edd38ba03b58b3ad4fdce29ce6364c20,conflict_negative,reject,,"e9f1105995cfa1ba8673317081ddfd59,edd38ba03b58b3ad4fdce29ce6364c20",cosine similarity = 0.726
conflict2::e9f1105995cfa1ba8673317081ddfd59::f66447c31f7cdea1b76e4d04b61eafb1,conflict_negative,reject,,"e9f1105995cfa1ba8673317081ddfd59,f66447c31f7cdea1b76e4d04b61eafb1",cosine similarity = 0.723
conflict2::e9f1105995cfa1ba8673317081ddfd59::f03e342598038304a70998b40c77b7f5,conflict_negative,accept,,"e9f1105995cfa1ba8673317081ddfd59,f03e342598038304a70998b40c77b7f5",cosine similarity = 0.722
conflict2::e9f1105995cfa1ba8673317081ddfd59::ea45a82b83357e43752e1b7a8a25cbcc,conflict_negative,reject,,"e9f1105995cfa1ba8673317081ddfd59,ea45a82b83357e43752e1b7a8a25cbcc",cosine similarity = 0.716
conflict2::e9f1105995cfa1ba8673317081ddfd59::e9ac9fdef4cd0a3e6de4e2929e67467b,conflict_negative,reject,,"e9f1105995cfa1ba8673317081ddfd59,e9ac9fdef4cd0a3e6de4e2929e67467b",cosine similarity = 0.709
